101,O Senhor dos Anéis,J.R.R. Tolkien,Ficção,1954,Allen & Unwin,1216
102,Dom Quixote,Miguel de Cervantes,Clássico,1605,Francisco de Robles,863
103,1984,George Orwell,Ficção Distópica,1949,Secker & Warburg,328
104,Orgulho e Preconceito,Jane Austen,Romance,1813,T. Egerton,279
105,O Pequeno Príncipe,Antoine de Saint-Exupéry,Infantil,1943,Reynal & Hitchcock,96
106,Moby Dick,Herman Melville,Aventura,1851,Harper & Brothers,635
107,Os Miseráveis,Victor Hugo,Drama,1862,A. Lacroix,1472
108,Hamlet,William Shakespeare,Tragédia,1603,Francisco de Robles,342
109,A Revolução dos Bichos,George Orwell,Fábula Política,1945,Secker & Warburg,112
110,Harry Potter e a Pedra Filosofal,J.K. Rowling,Fantasia,1997,Bloomsbury,223
